event,tier_s,order,volume_err_pct,peak_err_pct,nrmse_pct,event_f1,dur_err_pct,distrib_err_pct,threshold_mbits,raw_peak_mbits
burst_20260723-142208,60,agg->deriv,5.83,29.31,18.84,0.00,100.00,14.53,8,10.40
burst_20260723-142208,60,deriv->agg,0.00,2.41,4.17,0.97,0.00,0.97,8,10.40
burst_20260723-142208,300,agg->deriv,30.12,49.56,33.33,0.00,100.00,44.82,8,10.40
burst_20260723-142208,300,deriv->agg,0.00,48.38,17.11,0.00,100.00,14.61,8,10.40
burst_20260723-175748,60,agg->deriv,5.99,29.34,18.93,0.00,100.00,14.66,8,10.40
burst_20260723-175748,60,deriv->agg,0.00,1.12,3.01,0.98,3.45,1.16,8,10.40
burst_20260723-175748,300,agg->deriv,30.41,49.54,33.38,0.00,100.00,44.70,8,10.40
burst_20260723-175748,300,deriv->agg,0.00,48.25,17.30,0.00,100.00,15.22,8,10.40
burst_20260723-200044,60,agg->deriv,5.82,29.78,18.73,0.00,100.00,14.73,8,10.40
burst_20260723-200044,60,deriv->agg,0.00,0.67,2.00,1.00,0.00,0.70,8,10.40
burst_20260723-200044,300,agg->deriv,30.13,49.50,33.44,0.00,100.00,44.79,8,10.40
burst_20260723-200044,300,deriv->agg,0.00,48.38,17.33,0.00,100.00,14.79,8,10.40
fluct_20260723-140646,60,agg->deriv,5.31,41.72,15.63,0.69,2.44,12.67,8,16.64
fluct_20260723-140646,60,deriv->agg,0.00,32.30,10.70,0.76,2.44,8.29,8,16.64
fluct_20260723-140646,300,agg->deriv,30.98,50.08,30.32,0.61,26.83,34.47,8,16.64
fluct_20260723-140646,300,deriv->agg,0.00,47.62,13.50,0.61,26.83,17.11,8,16.64
fluct_20260723-174243,60,agg->deriv,6.74,24.13,24.21,0.33,45.95,12.51,8,13.33
fluct_20260723-174243,60,deriv->agg,0.00,26.53,15.40,0.50,45.95,9.79,8,13.33
fluct_20260723-174243,300,agg->deriv,36.12,52.74,46.23,0.00,100.00,39.32,8,13.33
fluct_20260723-174243,300,deriv->agg,0.00,48.95,22.35,0.00,100.00,24.76,8,13.33
fluct_20260723-194542,60,agg->deriv,6.39,23.87,26.78,0.00,100.00,13.35,8,10.39
fluct_20260723-194542,60,deriv->agg,0.00,21.10,15.62,0.43,48.28,10.11,8,10.39
fluct_20260723-194542,300,agg->deriv,35.83,40.89,48.92,0.00,100.00,36.61,8,10.39
fluct_20260723-194542,300,deriv->agg,0.00,37.32,18.40,0.00,100.00,17.38,8,10.39
burst_misaligned330,60,agg->deriv,6.22,15.26,20.76,0.50,0.00,10.76,8,10.40
burst_misaligned330,60,deriv->agg,0.00,30.24,13.76,0.00,100.00,9.10,8,10.40
burst_misaligned330,300,agg->deriv,30.82,50.72,33.58,0.00,100.00,45.23,8,10.40
burst_misaligned330,300,deriv->agg,0.00,48.39,17.32,0.00,100.00,14.75,8,10.40
