label,bucket,series,fields,points,total_bytes,series_index_bytes,data_bytes
baseline-20260808,infldb,713,78,16645698,80765740,33591296,47174444
baseline-20260808,traffic-1m,72,8,6984,33724960,33591296,133664
baseline-20260808,traffic-5m,72,8,2016,33777795,33591296,186499
baseline-20260808,traffic-1h,72,8,144,33723629,33591296,132333
baseline-20260808,traffic-8h,0,0,0,33599488,33591296,8192
baseline-20260808,traffic-1d,72,8,72,33661421,33591296,70125
baseline-20260808,traffic-1w,4,2,24,33876064,33591296,284768
baseline-20260808,traffic-4w,4,2,24,33876064,33591296,284768
baseline-20260808,traffic-12w,4,2,16,33783872,33591296,192576
baseline-20260808,traffic-24w,4,2,16,33783872,33591296,192576
baseline-20260808,traffic-52w,4,2,40,34060448,33591296,469152
baseline-20260808,traffic-260w,4,2,16,33783872,33591296,192576
baseline-20260808,traffic-520w,4,2,4,33645584,33591296,54288
after-fix-20260808,infldb,30,2,250470,33688798,33591296,97502
after-fix-20260808,traffic-1m,72,8,2448,33689162,33591296,97866
after-fix-20260808,traffic-5m,72,8,432,33703556,33591296,112260
after-fix-20260808,traffic-1h,72,8,72,33644309,33591296,53013
after-fix-20260808,traffic-8h,0,0,0,33599488,33591296,8192
after-fix-20260808,traffic-1d,0,0,0,33599488,33591296,8192
after-fix-20260808,traffic-1w,4,2,20,33829968,33591296,238672
after-fix-20260808,traffic-4w,4,2,24,33876064,33591296,284768
after-fix-20260808,traffic-12w,4,2,16,33783872,33591296,192576
after-fix-20260808,traffic-24w,4,2,16,33783872,33591296,192576
after-fix-20260808,traffic-52w,4,2,40,34060448,33591296,469152
after-fix-20260808,traffic-260w,4,2,16,33783872,33591296,192576
after-fix-20260808,traffic-520w,4,2,4,33645584,33591296,54288
after-both-fixes-20260808,infldb,30,2,342687,34696758,33591296,1105462
after-both-fixes-20260808,traffic-1m,72,8,3528,33707954,33591296,116658
after-both-fixes-20260808,traffic-5m,72,8,648,33703556,33591296,112260
after-both-fixes-20260808,traffic-1h,72,8,72,33657749,33591296,66453
after-both-fixes-20260808,traffic-8h,0,0,0,33599488,33591296,8192
after-both-fixes-20260808,traffic-1d,0,0,0,33599488,33591296,8192
after-both-fixes-20260808,traffic-1w,4,2,20,33829968,33591296,238672
after-both-fixes-20260808,traffic-4w,4,2,24,33876064,33591296,284768
after-both-fixes-20260808,traffic-12w,4,2,16,33783872,33591296,192576
after-both-fixes-20260808,traffic-24w,4,2,16,33783872,33591296,192576
after-both-fixes-20260808,traffic-52w,4,2,40,34060448,33591296,469152
after-both-fixes-20260808,traffic-260w,4,2,16,33783872,33591296,192576
after-both-fixes-20260808,traffic-520w,4,2,4,33645584,33591296,54288
